"","Año","Fecha..DD.MM.AAAA.","Metal","Valor","Métrica"
"2",2024,"2024-01-01","Oro",255397.4,"Precio de Venta"
"8",2024,"2024-01-02","Oro",255397.4,"Precio de Venta"
"14",2024,"2024-01-03","Oro",258948.59,"Precio de Venta"
"20",2024,"2024-01-04","Oro",257013.17,"Precio de Venta"
"26",2024,"2024-01-05","Oro",257547.3,"Precio de Venta"
"32",2024,"2024-01-06","Oro",257547.3,"Precio de Venta"
"38",2024,"2024-01-07","Oro",257547.3,"Precio de Venta"
"44",2024,"2024-01-08","Oro",257547.3,"Precio de Venta"
"50",2024,"2024-01-09","Oro",254764.86,"Precio de Venta"
"56",2024,"2024-01-10","Oro",257384.72,"Precio de Venta"
"62",2024,"2024-01-11","Oro",257159.09,"Precio de Venta"
"68",2024,"2024-01-12","Oro",256374.29,"Precio de Venta"
"74",2024,"2024-01-13","Oro",256374.29,"Precio de Venta"
"80",2024,"2024-01-14","Oro",256374.29,"Precio de Venta"
"86",2024,"2024-01-15","Oro",257844.81,"Precio de Venta"
"92",2024,"2024-01-16","Oro",257123.58,"Precio de Venta"
"98",2024,"2024-01-17","Oro",258236.14,"Precio de Venta"
"104",2024,"2024-01-18","Oro",256744.29,"Precio de Venta"
"110",2024,"2024-01-19","Oro",255012.81,"Precio de Venta"
"116",2024,"2024-01-20","Oro",255012.81,"Precio de Venta"
"122",2024,"2024-01-21","Oro",255012.81,"Precio de Venta"
"128",2024,"2024-01-22","Oro",255424.54,"Precio de Venta"
"134",2024,"2024-01-23","Oro",253775.98,"Precio de Venta"
"140",2024,"2024-01-24","Oro",255905.09,"Precio de Venta"
"146",2024,"2024-01-25","Oro",255816.15,"Precio de Venta"
"152",2024,"2024-01-26","Oro",255898.28,"Precio de Venta"
"158",2024,"2024-01-27","Oro",255898.28,"Precio de Venta"
"164",2024,"2024-01-28","Oro",255898.28,"Precio de Venta"
"170",2024,"2024-01-29","Oro",254728.42,"Precio de Venta"
"176",2024,"2024-01-30","Oro",254827.92,"Precio de Venta"
"182",2024,"2024-01-31","Oro",257855.27,"Precio de Venta"
"188",2024,"2024-02-01","Oro",258479.85,"Precio de Venta"
"194",2024,"2024-02-02","Oro",255804.57,"Precio de Venta"
"200",2024,"2024-02-03","Oro",255804.57,"Precio de Venta"
"206",2024,"2024-02-04","Oro",255804.57,"Precio de Venta"
"212",2024,"2024-02-05","Oro",256896.15,"Precio de Venta"
"218",2024,"2024-02-06","Oro",257946.78,"Precio de Venta"
"224",2024,"2024-02-07","Oro",257939.52,"Precio de Venta"
"230",2024,"2024-02-08","Oro",260076.62,"Precio de Venta"
"236",2024,"2024-02-09","Oro",257934.51,"Precio de Venta"
"242",2024,"2024-02-10","Oro",257934.51,"Precio de Venta"
"248",2024,"2024-02-11","Oro",257934.51,"Precio de Venta"
"254",2024,"2024-02-12","Oro",255419.08,"Precio de Venta"
"260",2024,"2024-02-13","Oro",253671.66,"Precio de Venta"
"266",2024,"2024-02-14","Oro",252147.87,"Precio de Venta"
"272",2024,"2024-02-15","Oro",249967.58,"Precio de Venta"
"278",2024,"2024-02-16","Oro",251920.82,"Precio de Venta"
"284",2023,"2023-01-01","Oro",280499.14,"Precio de Venta"
"290",2023,"2023-01-02","Oro",280499.14,"Precio de Venta"
"296",2023,"2023-01-03","Oro",280499.14,"Precio de Venta"
"302",2023,"2023-01-04","Oro",286961.29,"Precio de Venta"
"308",2023,"2023-01-05","Oro",294029.62,"Precio de Venta"
"314",2023,"2023-01-06","Oro",294207.88,"Precio de Venta"
"320",2023,"2023-01-07","Oro",294207.88,"Precio de Venta"
"326",2023,"2023-01-08","Oro",294207.88,"Precio de Venta"
"332",2023,"2023-01-09","Oro",294207.88,"Precio de Venta"
"338",2023,"2023-01-10","Oro",295125.22,"Precio de Venta"
"344",2023,"2023-01-11","Oro",290394.08,"Precio de Venta"
"350",2023,"2023-01-12","Oro",285849.94,"Precio de Venta"
"356",2023,"2023-01-13","Oro",283987.48,"Precio de Venta"
"362",2023,"2023-01-14","Oro",283987.48,"Precio de Venta"
"368",2023,"2023-01-15","Oro",283987.48,"Precio de Venta"
"374",2023,"2023-01-16","Oro",287818.02,"Precio de Venta"
"380",2023,"2023-01-17","Oro",289304.54,"Precio de Venta"
"386",2023,"2023-01-18","Oro",288643.17,"Precio de Venta"
"392",2023,"2023-01-19","Oro",290398.93,"Precio de Venta"
"398",2023,"2023-01-20","Oro",288920.52,"Precio de Venta"
"404",2023,"2023-01-21","Oro",288920.52,"Precio de Venta"
"410",2023,"2023-01-22","Oro",288920.52,"Precio de Venta"
"416",2023,"2023-01-23","Oro",286638.12,"Precio de Venta"
"422",2023,"2023-01-24","Oro",280178.29,"Precio de Venta"
"428",2023,"2023-01-25","Oro",280727.86,"Precio de Venta"
"434",2023,"2023-01-26","Oro",281760.32,"Precio de Venta"
"440",2023,"2023-01-27","Oro",281556.26,"Precio de Venta"
"446",2023,"2023-01-28","Oro",281556.26,"Precio de Venta"
"452",2023,"2023-01-29","Oro",281556.26,"Precio de Venta"
"458",2023,"2023-01-30","Oro",281222.3,"Precio de Venta"
"464",2023,"2023-01-31","Oro",286553.63,"Precio de Venta"
"470",2023,"2023-02-01","Oro",287544.45,"Precio de Venta"
"476",2023,"2023-02-02","Oro",287245.23,"Precio de Venta"
"482",2023,"2023-02-03","Oro",283238.03,"Precio de Venta"
"488",2023,"2023-02-04","Oro",283238.03,"Precio de Venta"
"494",2023,"2023-02-05","Oro",283238.03,"Precio de Venta"
"500",2023,"2023-02-06","Oro",281556.79,"Precio de Venta"
"506",2023,"2023-02-07","Oro",287656.22,"Precio de Venta"
"512",2023,"2023-02-08","Oro",287249,"Precio de Venta"
