Periodo ,ANTIOQUIA,BOGOTA DC,BOYACÁ,CALDAS,CAUCA,CUNDINAMARCA,NARIÑO,QUINDÍO,RISARALDA,VALLE DEL CAUCA,REGIÓN 1,ARAUCA,ATLÁNTICO,BOLÍVAR,CAQUETÁ,CASANARE,CESÁR,CÓRDOBA,GUAVIARE,HUILA,LA GUAJIRA,MAGDALENA,META,NORTE DE SANTANDER,PUTUMAYO,SANTANDER,SUCRE,TOLIMA,REGIÓN 2,NACIONAL
Jan-08,73609498.60,,18843690.39,4785911.00,892856.00,70912463.96,9625806.00,3311389.40,940720.00,3063868.00,185986203.35,147700.00,4233618.80,3845169.88,8608068.00,49046.00,18686944.79,7130218.62,,628525.87,128624.00,5558661.00,730748.17,706260.00,,4869626.00,4193876.12,332238.82,59849326.08,245835529.43
Feb-08,63957645.89,,17406274.19,4737965.12,962645.00,56688151.32,9052061.00,2906306.00,894797.79,2867952.00,159473798.31,143534.00,2335522.00,3683381.96,9162970.00,41217.00,16610122.00,5389181.80,,586154.00,36745.00,7061578.00,1028574.71,737257.00,,4726962.07,1692086.87,346643.00,53581929.40,213055727.70
Mar-08,66905147.00,,16962408.50,5141336.00,1069200.79,61147052.85,8395971.26,2867567.00,721153.19,2871435.24,166081271.84,134710.49,2351029.00,4096516.41,8813814.00,48195.00,16119151.01,4884557.62,,745951.58,38585.00,5410610.57,945660.73,1021440.00,,4933623.23,1540658.50,388297.30,51472800.44,217554072.27
Apr-08,67383870.97,,17853955.43,5034305.37,1046277.00,60080395.52,9251721.00,2809110.00,1067877.10,3048632.40,167576144.80,141422.09,1998343.03,4407239.45,9553906.00,46254.00,17680543.84,4812516.52,,785776.84,29278.74,6206853.99,865938.35,1089897.00,,5157410.62,1670636.43,462102.72,54908119.62,222484264.43
May-08,79123350.00,,16181284.00,5213326.00,1122881.00,59242112.00,8503584.00,2997985.00,1008957.00,2596959.00,175990438.00,116746.00,3236798.00,5278693.00,8882285.00,48493.00,21861484.00,7471203.00,,654183.00,48107.00,6374235.00,1020885.00,1204067.00,,4040982.00,2037721.00,399348.00,62675230.00,238665668.00
Jun-08,66736756.95,,18538776.84,4945978.84,1095608.00,62783396.78,8884726.00,2902791.00,947222.00,2985070.39,169820326.80,162454.96,3214440.12,5380215.23,8164169.71,18930.00,26583199.35,8375073.67,,689908.00,59801.00,7943949.67,908863.88,1175519.00,,5416043.42,2437736.50,660749.55,71191054.06,241011380.85
Jul-08,67672960.88,,19325822.07,4738868.42,1127330.00,62097887.30,9094165.00,2997245.00,863489.00,3091068.98,171008836.65,151584.70,3869943.82,5200724.77,7588979.00,18883.00,26978872.89,8777095.06,,764557.16,165449.70,7991714.00,928025.49,1342883.00,,5431039.18,2921081.67,636742.44,72767575.87,243776412.52
Aug-08,77574090.86,,19341161.00,4828351.00,1233870.00,63417461.54,8683349.00,3449614.00,969508.00,3297525.92,182794931.32,128715.00,3912441.49,4712809.50,6257818.00,15773.00,26035464.00,9108029.46,,1233061.00,57161.17,7441745.97,1470079.16,1238646.00,,5292461.05,3285273.68,591500.00,70780978.48,253575909.81
Sep-08,62399349.00,,20722673.00,4325502.00,1171302.00,58516663.00,8478832.00,2737975.00,899774.00,3224802.00,162476872.00,152585.00,3832000.00,3932990.00,6475818.00,18883.00,23682020.00,6788223.00,,910540.00,46115.00,6757698.00,928025.00,1308521.00,,4564259.00,3080152.00,555719.00,63033548.00,225510420.00
Oct-08,72104332.43,,17816142.57,5331264.00,1134684.00,58836130.89,8389381.70,3189092.00,926166.00,3541696.00,171268889.59,100246.00,3542433.00,3963617.00,5944248.41,14767.00,21424479.11,7275607.93,,1025222.00,45607.00,6349214.40,825999.00,1235374.00,,4037277.00,2523169.37,431444.08,58738705.30,230007594.90
